title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,838 E South Temple APT 408,Salt Lake City,UT,84102,"$259,000 ","1 bd , 1 ba , 1,153 sqft",,https://www.zillow.com/homedetails/838-E-South-Temple-APT-408-Salt-Lake-City-UT-84102/12753275_zpid/
House For Sale,918 E 100 S,SALT LAKE CITY,UT,84102,"$689,000 ","6 bds , 4 ba , 3,600 sqft",Intermountain Properties,https://www.zillow.com/homedetails/918-E-100-S-Salt-Lake-City-UT-84102/64779847_zpid/
Apartment For Sale,354 S 800 E,SALT LAKE CITY,UT,84102,"$399,900 ","4 bds , 2 ba , 1,686 sqft",Intermountain Properties,https://www.zillow.com/homedetails/354-S-800-E-Salt-Lake-City-UT-84102/12754152_zpid/
House For Sale,7 S Wolcott St,SALT LAKE CITY,UT,84102,"$2,995,000 ","5 bds , 7 ba , 6,309 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/7-S-Wolcott-St-Salt-Lake-City-UT-84102/12752773_zpid/
House For Sale,12 S Haxton Pl,SALT LAKE CITY,UT,84102,"$1,375,000 ","4 bds , 4 ba , 3,985 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/12-S-Haxton-Pl-Salt-Lake-City-UT-84102/12752984_zpid/
Condo For Sale,426 S 1000 E APT 704,SALT LAKE CITY,UT,84102,"$387,900 ","2 bds , 2 ba , 1,485 sqft",IMPOWER REAL ESTATE - NINJA,https://www.zillow.com/homedetails/426-S-1000-E-APT-704-Salt-Lake-City-UT-84102/12754264_zpid/
House For Sale,655 E 200 S,SALT LAKE CITY,UT,84102,"$419,900 ","3 bds , 2 ba , 1,851 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/655-E-200-S-Salt-Lake-City-UT-84102/12752857_zpid/
House For Sale,302 S 1200 E,Salt Lake City,UT,84102,"$765,000 ","10 bds , 5 ba , 4,750 sqft",CENTURY 21 Everest Realty Group,https://www.zillow.com/homedetails/302-S-1200-E-Salt-Lake-City-UT-84102/2091982895_zpid/
House For Sale,1435 E Federal Way,Salt Lake City,UT,84102,"$1,299,000 ","6 bds , 4 ba , 5,393 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/1435-E-Federal-Way-Salt-Lake-City-UT-84102/2112325553_zpid/
House For Sale,1435 E Federal Way,SALT LAKE CITY,UT,84102,"$1,299,000 ","6 bds , 4 ba , 5,393 sqft",Coldwell Banker Residential Brokerage-Salt Lake,https://www.zillow.com/homedetails/1435-E-Federal-Way-Salt-Lake-City-UT-84102/12752771_zpid/
House For Sale,1354 E South Temple,Salt Lake City,UT,84102,"$1,050,000 ","4 bds , 4 ba , 5,289 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/1354-E-South-Temple-Salt-Lake-City-UT-84102/12752731_zpid/
Condo For Sale,560 E South Temple APT 708,Salt Lake City,UT,84102,"$659,000 ","2 bds , 2 ba , 1,584 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/560-E-South-Temple-APT-708-Salt-Lake-City-UT-84102/12755716_zpid/
House For Sale,222 J St,SALT LAKE CITY,UT,84103,"$449,700 ","3 bds , 2 ba , 2,040 sqft",RealtyONE Group Signature,https://www.zillow.com/homedetails/222-J-St-Salt-Lake-City-UT-84103/12720587_zpid/
Condo For Sale,241 N Vine St APT 104W,SALT LAKE CITY,UT,84103,"$229,900 ","2 bds , 2 ba , 1,075 sqft",EXP Realty,https://www.zillow.com/homedetails/241-N-Vine-St-APT-104W-Salt-Lake-City-UT-84103/12716824_zpid/
Apartment For Sale,167 N B E St,Salt Lake City,UT,84103,"$495,000 ","3 bds , 3 ba , 2,187 sqft",Coldwell Banker Residential Brokerage-Salt Lake,https://www.zillow.com/homedetails/167-N-B-E-St-Salt-Lake-City-UT-84103/2090379888_zpid/
House For Sale,405 N Virginia E St,Salt Lake City,UT,84103,"$815,000 ","4 bds , 3 ba , 2,712 sqft",Progressive Properties Realty,https://www.zillow.com/homedetails/405-N-Virginia-E-St-Salt-Lake-City-UT-84103/2090370051_zpid/
Condo For Sale,171 E 3RD Ave APT 707,SALT LAKE CITY,UT,84103,"$679,900 ","2 bds , 3 ba , 1,798 sqft",CENTURY 21 Everest Realty Group,https://www.zillow.com/homedetails/171-E-3RD-Ave-APT-707-Salt-Lake-City-UT-84103/12718890_zpid/
Apartment For Sale,167 B St,Salt Lake City,UT,84103,"$495,000 ","3 bds , -- ba , 2,187 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/167-B-St-Salt-Lake-City-UT-84103/141827837_zpid/
House For Sale,1456 E Penrose Dr,SALT LAKE CITY,UT,84103,"$1,850,000 ","5 bds , 4 ba , 4,665 sqft",,https://www.zillow.com/homedetails/1456-E-Penrose-Dr-Salt-Lake-City-UT-84103/12722118_zpid/
House For Sale,659 N De Soto St,SALT LAKE CITY,UT,84103,"$547,500 ","4 bds , 4 ba , 2,905 sqft",Plumb & Company,https://www.zillow.com/homedetails/659-N-De-Soto-St-Salt-Lake-City-UT-84103/12717826_zpid/
Lot/Land For Sale,1305 E 2nd Ave,Salt Lake City,UT,84103,"$790,000 ","10,890 sqft lot",cityhome COLLECTIVE,https://www.zillow.com/homedetails/1305-E-2nd-Ave-Salt-Lake-City-UT-84103/12722156_zpid/
House For Sale,371 E Seventh N Ave,Salt Lake City,UT,84103,"$900,000 ","5 bds , 5 ba , 4,272 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/371-E-Seventh-N-Ave-Salt-Lake-City-UT-84103/2090436693_zpid/
House For Sale,1349 E 2nd Ave,Salt Lake City,UT,84103,"$1,575,000 ","3 bds , 4 ba , 5,009 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/1349-E-2nd-Ave-Salt-Lake-City-UT-84103/12722164_zpid/
House For Sale,423 N G E St,Salt Lake City,UT,84103,"$1,169,000 ","5 bds , 6 ba , 4,990 sqft",,https://www.zillow.com/homedetails/423-N-G-E-St-Salt-Lake-City-UT-84103/2090480019_zpid/
For Sale by Owner,122 L St,SALT LAKE CITY,UT,84103,"$430,000 ","2 bds , 2 ba , 1,400 sqft",,https://www.zillow.com/homedetails/122-L-St-Salt-Lake-City-UT-84103/12721081_zpid/
House For Sale,142 E 3RD Ave,SALT LAKE CITY,UT,84103,"$729,000 ","4 bds , 2 ba , 3,946 sqft",,https://www.zillow.com/homedetails/142-E-3RD-Ave-Salt-Lake-City-UT-84103/12719182_zpid/
