zpid,title,address,city,state,postal_code,price,facts and features,url,beds,baths,sqft,neighborhood,region,price_per_sqft,size_type
12722246,House For Sale,1441 E South Temple,SALT LAKE CITY,UT,84102,2700000.0,"6 bds , 7 ba , 7,985 sqft",https://www.zillow.com/homedetails/1441-E-South-Temple-Salt-Lake-City-UT-84102/12722246_zpid/,6.0,7.0,7985.0,Downtown SLC,Downtown-SLC,338.1340012523481,large
12754550,House For Sale,337 S 1000 E,SALT LAKE CITY,UT,84102,400000.0,"2 bds , 2 ba , 2,122 sqft",https://www.zillow.com/homedetails/337-S-1000-E-Salt-Lake-City-UT-84102/12754550_zpid/,2.0,2.0,2122.0,Downtown SLC,Downtown-SLC,188.5014137606032,medium
12721012,Condo For Sale,777 E South Temple APT 10B,SALT LAKE CITY,UT,84102,385000.0,"2 bds , 2 ba , 1,298 sqft",https://www.zillow.com/homedetails/777-E-South-Temple-APT-10B-Salt-Lake-City-UT-84102/12721012_zpid/,2.0,2.0,1298.0,Downtown SLC,Downtown-SLC,296.6101694915254,medium
12755801,House For Sale,234 S 600 E,SALT LAKE CITY,UT,84102,339900.0,"3 bds , 3 ba , 1,812 sqft",https://www.zillow.com/homedetails/234-S-600-E-Salt-Lake-City-UT-84102/12755801_zpid/,3.0,3.0,1812.0,Downtown SLC,Downtown-SLC,187.58278145695365,medium
2092450833,Townhouse For Sale,53 S 800 E,SALT LAKE CITY,UT,84102,719900.0,"4 bds , 4 ba , 2,863 sqft",https://www.zillow.com/homedetails/53-S-800-E-Salt-Lake-City-UT-84102/2092450833_zpid/,4.0,4.0,2863.0,Downtown SLC,Downtown-SLC,251.4495284666434,large
12754743,House For Sale,1051 E Fuller Ave,SALT LAKE CITY,UT,84102,339900.0,"3 bds , 2 ba , 1,224 sqft",https://www.zillow.com/homedetails/1051-E-Fuller-Ave-Salt-Lake-City-UT-84102/12754743_zpid/,3.0,2.0,1224.0,Downtown SLC,Downtown-SLC,277.69607843137254,medium
2091345488,House For Sale,345 S Douglas E St,SALT LAKE CITY,UT,84102,735000.0,"3 bds , 3 ba , 3,207 sqft",https://www.zillow.com/homedetails/345-S-Douglas-E-St-Salt-Lake-City-UT-84102/2091345488_zpid/,3.0,3.0,3207.0,Downtown SLC,Downtown-SLC,229.1861552853134,large
12754382,House For Sale,634 S 800 E,SALT LAKE CITY,UT,84102,405000.0,"7 bds , 2.75 ba , 2,530 sqft",https://www.zillow.com/homedetails/634-S-800-E-Salt-Lake-City-UT-84102/12754382_zpid/,7.0,2.75,2530.0,Downtown SLC,Downtown-SLC,160.07905138339922,large
12753275,Condo For Sale,838 E South Temple APT 408,SALT LAKE CITY,UT,84102,259000.0,"1 bd , 1 ba , 1,153 sqft",https://www.zillow.com/homedetails/838-E-South-Temple-APT-408-Salt-Lake-City-UT-84102/12753275_zpid/,1.0,1.0,1153.0,Downtown SLC,Downtown-SLC,224.6313963573287,small
64779847,House For Sale,918 E 100 S,SALT LAKE CITY,UT,84102,689000.0,"6 bds , 4 ba , 3,600 sqft",https://www.zillow.com/homedetails/918-E-100-S-Salt-Lake-City-UT-84102/64779847_zpid/,6.0,4.0,3600.0,Downtown SLC,Downtown-SLC,191.38888888888889,large
12754152,Apartment For Sale,354 S 800 E,SALT LAKE CITY,UT,84102,399900.0,"4 bds , 2 ba , 1,686 sqft",https://www.zillow.com/homedetails/354-S-800-E-Salt-Lake-City-UT-84102/12754152_zpid/,4.0,2.0,1686.0,Downtown SLC,Downtown-SLC,237.18861209964413,medium
12752773,House For Sale,7 S Wolcott St,SALT LAKE CITY,UT,84102,2995000.0,"5 bds , 7 ba , 6,309 sqft",https://www.zillow.com/homedetails/7-S-Wolcott-St-Salt-Lake-City-UT-84102/12752773_zpid/,5.0,7.0,6309.0,Downtown SLC,Downtown-SLC,474.71865588841337,large
12752984,House For Sale,12 S Haxton Pl,SALT LAKE CITY,UT,84102,1375000.0,"4 bds , 4 ba , 3,985 sqft",https://www.zillow.com/homedetails/12-S-Haxton-Pl-Salt-Lake-City-UT-84102/12752984_zpid/,4.0,4.0,3985.0,Downtown SLC,Downtown-SLC,345.0439146800502,large
12754264,Condo For Sale,426 S 1000 E APT 704,SALT LAKE CITY,UT,84102,387900.0,"2 bds , 2 ba , 1,485 sqft",https://www.zillow.com/homedetails/426-S-1000-E-APT-704-Salt-Lake-City-UT-84102/12754264_zpid/,2.0,2.0,1485.0,Downtown SLC,Downtown-SLC,261.2121212121212,medium
12752857,House For Sale,655 E 200 S,SALT LAKE CITY,UT,84102,419900.0,"3 bds , 2 ba , 1,851 sqft",https://www.zillow.com/homedetails/655-E-200-S-Salt-Lake-City-UT-84102/12752857_zpid/,3.0,2.0,1851.0,Downtown SLC,Downtown-SLC,226.8503511615343,medium
2091982895,House For Sale,302 S 1200 E,SALT LAKE CITY,UT,84102,765000.0,"10 bds , 5 ba , 4,750 sqft",https://www.zillow.com/homedetails/302-S-1200-E-Salt-Lake-City-UT-84102/2091982895_zpid/,10.0,5.0,4750.0,Downtown SLC,Downtown-SLC,161.05263157894737,large
2112325553,House For Sale,1435 E Federal Way,SALT LAKE CITY,UT,84102,1299000.0,"6 bds , 4 ba , 5,393 sqft",https://www.zillow.com/homedetails/1435-E-Federal-Way-Salt-Lake-City-UT-84102/2112325553_zpid/,6.0,4.0,5393.0,Downtown SLC,Downtown-SLC,240.86779158167997,large
12752771,House For Sale,1435 E Federal Way,SALT LAKE CITY,UT,84102,1299000.0,"6 bds , 4 ba , 5,393 sqft",https://www.zillow.com/homedetails/1435-E-Federal-Way-Salt-Lake-City-UT-84102/12752771_zpid/,6.0,4.0,5393.0,Downtown SLC,Downtown-SLC,240.86779158167997,large
12752731,House For Sale,1354 E South Temple,SALT LAKE CITY,UT,84102,1050000.0,"4 bds , 4 ba , 5,289 sqft",https://www.zillow.com/homedetails/1354-E-South-Temple-Salt-Lake-City-UT-84102/12752731_zpid/,4.0,4.0,5289.0,Downtown SLC,Downtown-SLC,198.52524106636415,large
12755716,Condo For Sale,560 E South Temple APT 708,SALT LAKE CITY,UT,84102,659000.0,"2 bds , 2 ba , 1,584 sqft",https://www.zillow.com/homedetails/560-E-South-Temple-APT-708-Salt-Lake-City-UT-84102/12755716_zpid/,2.0,2.0,1584.0,Downtown SLC,Downtown-SLC,416.0353535353535,medium
12720587,House For Sale,222 J St,SALT LAKE CITY,UT,84103,449700.0,"3 bds , 2 ba , 2,040 sqft",https://www.zillow.com/homedetails/222-J-St-Salt-Lake-City-UT-84103/12720587_zpid/,3.0,2.0,2040.0,Downtown SLC,Downtown-SLC,220.44117647058823,medium
12716824,Condo For Sale,241 N Vine St APT 104W,SALT LAKE CITY,UT,84103,229900.0,"2 bds , 2 ba , 1,075 sqft",https://www.zillow.com/homedetails/241-N-Vine-St-APT-104W-Salt-Lake-City-UT-84103/12716824_zpid/,2.0,2.0,1075.0,Downtown SLC,Downtown-SLC,213.86046511627907,small
2090379888,Apartment For Sale,167 N B E St,SALT LAKE CITY,UT,84103,495000.0,"3 bds , 3 ba , 2,187 sqft",https://www.zillow.com/homedetails/167-N-B-E-St-Salt-Lake-City-UT-84103/2090379888_zpid/,3.0,3.0,2187.0,Downtown SLC,Downtown-SLC,226.33744855967078,medium
2090370051,House For Sale,405 N Virginia E St,SALT LAKE CITY,UT,84103,815000.0,"4 bds , 3 ba , 2,712 sqft",https://www.zillow.com/homedetails/405-N-Virginia-E-St-Salt-Lake-City-UT-84103/2090370051_zpid/,4.0,3.0,2712.0,Downtown SLC,Downtown-SLC,300.51622418879055,large
12718890,Condo For Sale,171 E 3RD Ave APT 707,SALT LAKE CITY,UT,84103,679900.0,"2 bds , 3 ba , 1,798 sqft",https://www.zillow.com/homedetails/171-E-3RD-Ave-APT-707-Salt-Lake-City-UT-84103/12718890_zpid/,2.0,3.0,1798.0,Downtown SLC,Downtown-SLC,378.1423804226919,medium
141827837,Apartment For Sale,167 B St,SALT LAKE CITY,UT,84103,495000.0,"3 bds , -- ba , 2,187 sqft",https://www.zillow.com/homedetails/167-B-St-Salt-Lake-City-UT-84103/141827837_zpid/,3.0,,2187.0,Downtown SLC,Downtown-SLC,226.33744855967078,medium
